Identifier (RIC),Company Name,"Total Current Assets
(FY-1, usd)","Revenue
(FY-1, usd)","Gross Profit
(FY-1, usd)","Asset Turnover
(FY-1)","Net Profit Margin, (%)
(FY-1)","Total Debt to Total Equity, Percent
(FY-1)","ESG Score
(FY-1)","Environmental Pillar Score
(FY-1)","Social Pillar Score
(FY-1)","Governance Pillar Score
(FY-1)"
HLT,Hilton Worldwide Holdings Inc,2870000000.0,8773000000.0,3697000000.0,0.58,0.14,2.0,81.08,90.38,75.41,81.2
WYNN.OQ,Wynn Resorts Ltd,4029587000.0,3756825000.0,1366603000.0,0.29,-0.11,2.0,73.4,74.44,77.59,66.18
MGM.N,MGM Resorts International,8154692000.0,13127485000.0,6474502000.0,0.3,0.11,1.84,71.74,89.7,55.23,80.35
DHCC.PK,Diamondhead Casino Corp,55890.0,407172304.0,147164777.0,0.0,-42.0,2.0,49.0,60.0,53.0,52.0
ERW.BK,Erawan Group PCL,58547129.44,133735423.58,150888532.0,0.21,-0.05,2.5,49.67,45.87,42.68,63.58
0022.HK,Mexan Ltd,13639340.09,16098095.42,5645964.71,0.22,-0.19,0.3,53.0,58.0,57.0,50.0
METB.KL,Meta Bright Group Bhd,33303005.36,7302583.07,5927723.47,0.12,0.26,0.11,52.0,58.0,58.0,53.0
0037.HK,Far East Hotels and Entertainment Ltd,9611398.18,4734858.27,752644.12,0.09,-0.21,0.06,51.0,55.0,48.0,58.0
0051.HK,Harbour Centre Development Ltd,371854792.24,145848005.63,62616044.56,0.06,-0.17,0.07,52.0,51.0,52.0,55.0
0045.HK,Hongkong and Shanghai Hotels Ltd,855624559.83,537550419.36,492477111.21,0.07,-0.12,0.5,51.0,60.0,49.0,57.0
0181.HK,Fujian Holdings Ltd,5248429.48,2419924.45,159702635.0,0.04,-0.76,0.0,49.0,51.0,57.0,54.0
0184.HK,Keck Seng Investments Hong Kong Ltd,222419232.99,183044753.19,166047506.24,0.25,0.05,0.53,57.0,59.0,50.0,56.0
0201.HK,Magnificent Hotel Investments Ltd,37610986.62,56275305.72,22135604.07,0.09,1.35,0.2,55.0,52.0,56.0,51.0
0219.HK,Shun Ho Property Investments Ltd,41898457.01,78454062.36,35842499.52,0.06,0.79,0.14,57.0,50.0,52.0,51.0
OHTL.BK,OHTL PCL,12322899.74,55699817.97,21227712.22,0.31,0.05,2.21,57.0,60.0,48.0,50.0
BEYOND.BK,Bound and Beyond PCL,37172196.76,61694810.17,15539324.76,0.16,-0.16,1.02,51.0,59.0,57.0,51.0
EXSI.KL,Exsim Hospitality Bhd,6966773.85,1138906.75,551339.76,0.09,-0.15,0.35,57.0,60.0,55.0,51.0
0253.HK,Shun Ho Holdings Ltd,41974262.12,78454062.36,35842499.52,0.06,0.42,0.26,51.0,60.0,52.0,54.0
NHH.MC,Minor Hotels Europe & Americas SA,532964469.18,1843275898.97,1530951412.67,0.42,0.06,2.95,88.45,91.73,94.35,76.65
ACCP.PA,Accor SA,3835616438.36,4520547945.21,4432791095.89,0.38,0.08,0.66,79.47,75.02,89.42,68.56
000428.SZ,Huatian Hotel Group Co Ltd,156259532.85,68663805.6,3352673.55,0.09,-0.66,1.77,52.0,53.0,50.0,57.0
AREN.ZA,Arena Hospitality Group dd,81665239.73,117200342.47,115392765.41,0.24,0.04,1.1,54.0,51.0,56.0,57.0
ALLHB.PA,Les Hotels Baverez SA,34349422.09,41472270.98,29567455.05,0.64,0.18,0.56,49.0,51.0,51.0,51.0
1215.HK,Kai Yuan Holdings Ltd,150641782.44,19657980.66,-101671.04,0.04,-0.27,0.75,57.0,50.0,48.0,50.0
INTG.OQ,InterGroup Corp,198267789.0,57607000.0,13263000.0,0.46,-0.12,2.0,58.0,60.0,51.0,48.0
CONN.CM,Hayleys Leisure PLC,2049777.99,4727359.57,2504574.38,0.28,-0.48,2.04,55.0,57.0,50.0,55.0
IHTL.NS,Indian Hotels Company Ltd,315279941.58,707145813.05,527071567.67,0.43,0.17,0.39,72.2,66.53,67.46,84.4
ORHT.NS,Oriental Hotels Ltd,11454211.3,48017745.86,39218987.34,0.49,0.14,0.4,52.0,50.0,50.0,49.0
WTB.L,Whitbread PLC,1586124544.75,3134754313.69,2861305152.55,0.27,0.11,1.2,77.03,73.4,82.69,71.8
9722.T,Fujita Kanko Inc,236038441.0,333681641.37,-9358553.89,0.41,-0.15,2.21,54.0,54.0,57.0,50.0
CCL.N,Carnival Corp,7492000000.0,12168000000.0,3809000000.0,0.23,-0.5,4.89,71.21,73.85,58.35,88.11
9708.T,Imperial Hotel Ltd,262120641.61,329633255.52,257700128.02,0.72,0.05,0.0,52.0,51.0,51.0,48.0
9675.T,Joban Kosan Co Ltd,96686497.48,101167256.57,26492958.81,0.25,0.05,3.53,48.0,52.0,47.0,52.0
3010.T,Polaris Holdings Co Ltd,96866593.87,52847834.93,49005565.18,0.38,0.08,5.93,50.0,54.0,50.0,51.0
LAGP.ZA,Plava Laguna dd,169191245.72,200102739.73,140738441.78,0.39,0.36,0.3,49.0,56.0,56.0,57.0
1221.HK,Sino Hotels (Holdings) Ltd,119752163.09,17401207.25,9714474.22,0.03,-0.14,0.0,54.0,56.0,51.0,55.0
CBRH.CY,Constantinou Bros Hotels PCL,84019884.42,52486857.88,19073480.31,0.21,0.12,1.09,58.0,55.0,57.0,58.0
GHOS.OM,Gulf Hotels Oman SAOG Co Ltd,3540421.11,16449181.18,10538081.62,0.21,0.05,0.05,52.0,58.0,48.0,51.0
